Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Gabriel Magalhães;BRA;DF;Arsenal;PremierLeague;25;36;28;5;5;2,36;89;34;2;3044;33,8;4;29;0;4;0;0;4;0;4,3;0,7;13;117;8;70;100000;5200000;31;0,13;-0,3;58,2;5;2;40;22;77,3;33;31;100;78;26;-0,86;-0,98
Trent Alexander-Arnold;ENG;DF;Liverpool;PremierLeague;24;28;24;10;4;2;82;25;3;2155;23,9;3;41;4;3;0;0;6;0;2,6;7,2;45;205;97;70;180000;9360000;47;0,06;0,4;61,3;52;28;53,8;87;31;2;31;48;53;28;-0,38;-0,05
Kai Havertz;GER;CC;Arsenal;PremierLeague;24;37;28;5;5;2,41;89;30;7;2634;29,3;13;29;7;12;1;1;11;0;12,3;4,4;55;99;191;70;280000;14560000;68;0,18;0,7;58,2;42;16;38,1;39;35,9;1;20;22;77;22;1,08;0,44
Rúben Dias;POR;DF;Manchester City;PremierLeague;26;30;28;7;3;2,3;91;28;2;2559;28,4;0;34;0;0;0;0;0;0;1,4;0,3;34;173;16;80;180000;9360000;20;0;-1,4;65,2;1;0;0;26;73,1;17;30;77;65;28;-1,31;0,45
Pau Cubarsí;ESP;DF;Barcelona;LaLiga;16;19;26;7;5;2,32;85;18;1;1558;17,3;0;44;0;0;0;0;4;0;0,1;0,4;8;75;2;70;76923;4000000;3;0;-0,1;64,3;4;3;75;18;72,2;16;12;65;36;21;-0,1;-0,53
Nico Williams;ESP;DL;Athletic Club;LaLiga;21;31;19;11;8;1,9;68;29;2;2263;25,1;5;37;11;5;0;0;6;1;6;5,7;143;66;302;60;200385;10420000;56;0,09;-1;49,8;193;86;44,6;36;36,1;2;3;4;44;23;0,6;0,61
Cristian Romero;ARG;DF;Tottenham;PremierLeague;25;33;20;6;12;1,88;66;33;0;2790;31;5;61;0;5;0;0;7;1;3,5;0,4;32;179;8;65;165000;8580000;24;0,21;1,5;61,6;8;5;62,5;44;72,7;22;44;106;63;42;1,82;1,55
Darwin Núñez;URU;DL;Liverpool;PremierLeague;24;36;24;10;4;2,19;82;22;14;2047;22,7;11;41;8;11;0;1;9;0;16,3;6;58;54;206;70;140000;7280000;107;0,1;-5,3;61,3;44;15;34,1;23;47,8;6;3;9;48;25;-0,43;0,22
Michael Olise;FRA;DL;Crystal Palace;PremierLeague;21;19;13;10;15;1,47;49;14;5;1275;14,2;10;58;6;9;1;1;0;0;5,5;5,8;68;78;134;50;100000;5200000;56;0,16;4,5;42,3;83;40;48,2;24;33,3;0;11;9;34;19;1,73;0,68
Jules Koundé;FRA;DF;Barcelona;LaLiga;24;35;26;7;5;2,31;85;32;3;2899;32,2;1;44;2;1;0;0;4;0;2;2,2;67;245;64;50;260577;13550000;24;0,04;-1;64,3;38;16;42,1;51;54,9;12;25;83;69;38;0,27;-0,12
Martín Zubimendi;ESP;CC;Real Sociedad;LaLiga;24;31;16;12;10;1,52;60;29;2;2654;29,5;4;39;1;4;0;0;5;0;2,7;1,5;34;152;27;50;57692;3000000;22;0,18;1,3;55,3;18;12;66,7;42;54,8;9;37;54;41;32;-0,05;0,5
Anthony Gordon;ENG;DL;Newcastle Utd;PremierLeague;22;35;18;6;14;1,57;60;34;1;2890;32,1;11;62;10;10;1;1;12;1;10,2;8;138;101;232;60;60000;3120000;80;0,13;0,8;52,2;133;54;40,6;64;34,4;0;7;7;71;48;0,72;-0,11
Bernardo Silva;POR;CC;Manchester City;PremierLeague;28;33;28;7;3;2,39;91;29;4;2578;28,6;6;34;9;6;0;0;8;0;3,7;7,6;140;177;260;80;300000;15600000;34;0,18;2,3;65,2;61;38;62,3;57;43,9;4;17;15;71;26;-0,25;-0,03
Cody Gakpo;NED;DL;Liverpool;PremierLeague;24;35;24;10;4;2,23;82;17;18;1649;18,3;8;41;5;8;0;0;1;0;9;2,9;43;83;130;60;120000;6240000;66;0,12;-1;61,3;54;31;57,4;25;32;4;14;7;52;20;1,09;0,24
Dejan Kulusevski;SWE;DL;Tottenham;PremierLeague;23;36;20;6;12;1,72;66;31;5;2762;30,7;8;61;3;8;0;0;7;0;4,7;7,7;151;144;388;55;110000;5720000;57;0,14;3,3;61,6;129;54;41,9;67;37,3;1;18;2;57;46;0,08;0,41
James Maddison;ENG;CC;Tottenham;PremierLeague;26;28;20;6;12;1,86;66;26;2;2135;23,7;4;61;9;4;0;0;5;0;6,4;5,9;58;224;156;70;170000;8840000;58;0,07;-2,4;61,6;81;32;39,5;29;51,7;3;13;10;46;31;0,77;0,64
Rasmus Højlund;DEN;DL;Manchester Utd;PremierLeague;20;30;18;6;14;1,6;60;25;5;2158;24;10;58;2;10;0;0;2;0;7,6;1,6;35;33;111;65;85000;4420000;38;0,26;2,4;50,6;38;18;47,4;13;38,5;1;1;19;36;35;0,18;0,23
Amadou Onana;BEL;CC;Everton;PremierLeague;21;30;13;9;16;1,1;42;23;7;2091;23,2;2;51;0;2;0;0;5;0;2;2,7;21;107;39;50;100000;5200000;29;0,07;0;40,8;27;12;44,4;42;50;6;21;31;21;38;-1,14;-0,27
Bruno Fernandes;POR;CC;Manchester Utd;PremierLeague;28;35;18;6;14;1,69;60;35;0;3118;34,6;10;58;8;6;4;5;9;0;10;11,8;86;297;182;70;240000;12480000;90;0,07;0;50,6;44;19;43,2;88;34,1;6;27;50;55;52;1,28;0,61
Eberechi Eze;ENG;CC;Crystal Palace;PremierLeague;25;27;13;10;15;1,56;49;24;3;2055;22,8;11;58;4;10;1;1;3;0;9,1;5,2;68;93;139;55;100000;5200000;82;0,12;1,9;42,3;140;69;49,3;31;48,4;2;11;6;41;28;1,49;0,36
Gabriel Martinelli;BRA;DL;Arsenal;PremierLeague;22;35;28;5;5;2,34;89;24;11;2019;22,4;6;29;4;6;0;0;1;0;6,8;6,1;127;65;345;70;180000;9360000;58;0,1;-0,8;58,2;114;40;35,1;32;40,6;1;5;9;52;23;-0,83;0,09
Mohamed Salah;EGY;DL;Liverpool;PremierLeague;31;32;24;10;4;2,09;82;28;4;2534;28,2;18;41;10;13;5;7;2;0;21,2;11,8;98;147;341;55;350000;18200000;107;0,12;-3,2;61,3;77;27;35,1;21;28,6;1;2;1;59;30;-0,6;0,57
Nicolas Jackson;SEN;DL;Chelsea;PremierLeague;22;35;18;9;11;1,63;63;31;4;2799;31,1;14;63;5;14;0;0;10;0;18,6;4,3;70;67;200;35;65000;3380000;80;0,18;-4,6;58,6;105;54;51,4;24;20,8;5;4;17;65;48;0,98;0,76
Levi Colwill;ENG;DF;Chelsea;PremierLeague;20;23;18;9;11;1,52;63;20;3;1797;20;1;63;1;1;0;0;2;0;1,3;1,2;23;73;27;50;100000;5200000;11;0,09;-0,3;58,6;13;9;69,2;34;76,5;10;26;66;29;26;-0,46;-0,06
Marcus Rashford;ENG;DL;Manchester Utd;PremierLeague;25;33;18;6;14;1,61;60;26;7;2271;25,2;7;58;2;5;2;2;2;0;7,4;2,3;95;65;185;60;300000;15600000;60;0,08;-0,4;50,6;109;48;44;26;34,6;1;4;21;36;37;-0,04;-0,59
Kobbie Mainoo;ENG;CC;Manchester Utd;PremierLeague;18;24;18;6;14;1,5;60;24;0;1924;21,4;3;58;1;3;0;0;3;0;0,9;0,7;25;64;36;55;10000;520000;11;0,27;2,1;50,6;58;31;53,4;45;46,7;12;22;30;33;31;0,27;-0,74
Ryan Gravenberch;NED;CC;Liverpool;PremierLeague;21;26;24;10;4;2,23;82;12;14;1121;12,5;1;41;0;1;0;0;0;0;2;0,9;39;78;71;35;150000;7800000;23;0,04;-1;61,3;50;23;46;29;41,4;2;14;11;28;17;-0,45;-0,21
Pedro Neto;POR;DL;Wolves;PremierLeague;23;20;13;7;18;1,4;46;18;2;1516;16,8;2;65;9;2;0;0;4;0;3,5;4,4;98;54;149;55;50000;2600000;36;0,06;-1,5;48,9;88;37;42;15;33,3;1;5;2;22;27;0,18;0,18
Micky van de Ven;NED;DF;Tottenham;PremierLeague;22;27;20;6;12;1,85;66;27;0;2339;26;3;61;0;3;0;0;5;0;0,6;0;19;108;9;55;50000;2600000;8;0,38;2,4;61,6;27;15;55,6;33;72,7;15;18;78;47;38;0,01;0,26
Ollie Watkins;ENG;DL;Aston Villa;PremierLeague;27;37;20;8;10;1,84;68;37;0;3217;35,7;19;61;13;19;0;0;4;0;16,8;7,3;62;55;214;65;130000;6760000;107;0,18;2,2;53,1;63;26;41,3;11;45,5;4;4;20;72;56;0,89;1,16
Ben White;ENG;DF;Arsenal;PremierLeague;25;37;28;5;5;2,32;89;35;2;2988;33,2;4;29;4;4;0;0;8;0;1,2;3,8;44;192;162;60;120000;6240000;13;0,31;2,8;58,2;22;9;40,9;58;44,8;22;32;77;81;26;0,2;0,13
Alejandro Balde;ESP;DF;Barcelona;LaLiga;19;18;26;7;5;2,11;85;15;3;1378;15,3;0;44;1;0;0;0;1;0;0,1;1,2;73;41;141;40;32115;1670000;5;0;-0,1;64,3;53;20;37,7;11;63,6;1;5;21;29;17;-0,23;0,61
Pablo Barrios;ESP;CC;Atlético Madrid;LaLiga;20;24;24;4;10;2,13;76;17;7;1555;17,3;0;43;1;0;0;0;5;0;0,9;1,9;37;98;56;10;22115;1150000;17;0;-0,9;50,8;47;35;74,5;40;47,5;3;28;24;32;17;0,29;0,62
Alejandro Garnacho;ARG;DL;Manchester Utd;PremierLeague;19;36;18;6;14;1,5;60;30;6;2565;28,5;7;58;4;7;0;0;4;0;8,4;5,1;178;62;281;45;50000;2600000;100;0,07;-1,4;50,6;131;48;36,6;45;26,7;2;18;18;44;39;0,81;0,07
Oihan Sancet;ESP;CC;Athletic Club;LaLiga;23;30;19;11;8;1,73;68;25;5;1975;21,9;4;37;5;4;0;1;5;2;6,3;4,7;76;121;157;40;48077;2500000;41;0,1;-2,3;49,8;56;26;46,4;21;38,1;1;10;5;36;17;0,55;0,41
Brennan Johnson;WAL;DL;Tottenham;PremierLeague;22;32;20;6;12;1,56;66;23;9;2085;23,2;5;61;10;5;0;0;3;0;10,3;8,1;97;72;293;48;70000;3640000;3;0;-0,3;61,6;71;25;35,2;31;38,7;1;10;12;49;37;0,45;-0,16
Bryan Mbeumo;CMR;DL;Brentford;PremierLeague;23;25;10;9;19;1,28;39;22;3;1960;21,8;9;65;6;6;3;3;2;0;9,8;4,6;74;88;195;40;45000;2340000;50;0,12;-0,8;45,2;78;26;33,3;19;26,3;2;7;13;37;31;1,2;0,72
Christopher Nkunku;FRA;DL;Chelsea;PremierLeague;25;11;18;9;11;2;63;2;9;443;4,9;3;63;0;3;0;0;0;0;2,3;0,2;10;19;35;60;195000;10140000;16;0,19;0,7;58,6;8;2;25;2;50;1;2;4;12;12;-0,42;-0,19
Diogo Jota;POR;DL;Liverpool;PremierLeague;26;21;24;10;4;2,29;82;14;7;1145;12,7;10;41;3;10;0;0;3;1;5,3;3,3;54;34;111;50;140000;7280000;41;0,24;4,7;61,3;41;15;36,6;23;43,5;1;7;4;34;10;1,06;0,05
Ibrahima Konaté;FRA;DF;Liverpool;PremierLeague;24;22;24;10;4;2;82;17;5;1574;17,5;0;41;0;0;0;0;5;1;0,7;0,4;24;118;3;45;70000;3640000;11;0;-0,7;61,3;10;6;60;24;75;12;20;51;38;18;-0,08;0,01
João Pedro;BRA;DL;Brighton;PremierLeague;21;31;12;12;14;1,29;48;19;12;2045;22,7;9;62;3;5;4;5;2;0;11,9;3,8;83;92;205;45;50000;2600000;70;0,07;-2,9;59,8;107;43;40,2;24;58,3;2;11;28;32;38;-0,2;0,37
Lisandro Martínez;ARG;DF;Manchester Utd;PremierLeague;25;11;18;6;14;1,82;60;8;3;646;7,2;0;58;1;0;0;0;3;0;0;0,1;8;28;1;50;120000;6240000;0;;0;50,6;4;2;50;12;41,7;8;5;26;12;12;0,03;0,32
Matheus Cunha;BRA;DL;Wolves;PremierLeague;24;32;13;7;18;1,16;46;29;3;2440;27,1;12;65;7;11;1;1;9;0;9,5;3,2;107;87;139;45;60000;3120000;72;0,15;2,5;48,9;140;64;45,7;35;37,1;7;13;21;40;46;0,61;0
Mohammed Kudus;GHA;DL;West Ham;PremierLeague;22;33;14;10;14;1,3;52;27;6;2484;27,6;8;74;6;8;0;0;6;0;5,1;3,5;117;80;216;50;90000;4680000;67;0,12;2,9;41,1;221;124;56,1;40;50;0;11;9;42;61;-1,17;0,09
Murillo;BRA;DF;Nott'ham Forest;PremierLeague;21;32;9;9;20;0,91;32;32;0;2789;31;0;67;2;0;0;0;5;0;1,8;1,2;22;89;7;35;30000;1560000;17;0;-1,8;40,6;35;20;57,1;33;57,6;24;37;188;41;56;-0,06;0,3
Ronald Araújo;URU;DF;Barcelona;LaLiga;24;25;26;7;5;2;85;21;4;1997;22,2;1;44;2;1;0;0;6;0;2,1;1,4;24;101;11;45;134615;7000000;23;0,04;-1,1;64,3;11;8;72,7;17;70,6;11;12;66;50;31;-0,16;0,03
Arda Güler;TUR;DL;Real Madrid;LaLiga;18;10;29;8;1;2,6;95;4;6;377;4,2;6;26;0;6;0;0;1;0;1,4;0,1;16;17;25;15;100000;5200000;15;0,4;4,6;59,2;22;11;50;8;62,5;0;2;5;14;5;0,61;-0,38
Frenkie de Jong;NED;CC;Barcelona;LaLiga;26;20;26;7;5;2,05;85;20;0;1634;18,2;2;44;0;2;0;0;7;0;0,7;2,2;69;168;38;70;721154;37500000;7;0,29;1,3;64,3;24;13;54,2;19;42,1;8;14;28;41;25;-0,08;0,43
Mikel Merino;ESP;CC;Real Sociedad;LaLiga;27;32;16;12;10;1,75;60;27;5;2482;27,6;5;39;3;5;0;0;10;0;3,3;1,9;26;163;99;40;61538;3200000;30;0,17;1,7;55,3;41;24;58,5;48;45,8;11;16;55;42;23;1,36;0,04
Curtis Jones;ENG;CC;Liverpool;PremierLeague;22;23;24;10;4;1,96;82;14;9;1167;13;1;41;1;1;0;0;3;1;2,6;0,7;31;74;88;35;15000;780000;19;0,05;-1,6;61,3;29;15;51,7;23;43,5;0;7;8;31;17;-0,16;0,22
Destiny Udogie;ITA;DF;Tottenham;PremierLeague;20;28;20;6;12;1,93;66;28;0;2391;26,6;2;61;3;2;0;0;7;1;2,4;2,2;83;155;138;45;75000;3900000;9;0,22;-0,4;61,6;58;24;41,4;49;55,1;8;37;80;56;40;0,86;0,32
Dominic Solanke;ENG;DL;Bournemouth;PremierLeague;25;38;13;9;16;1,26;48;37;1;3325;36,9;19;67;3;17;2;3;3;0;19,6;3;52;60;184;40;70000;3640000;106;0,16;-0,6;44,4;106;39;36,8;29;34,5;5;7;43;51;61;2,57;-0,35
Douglas Luiz;BRA;CC;Aston Villa;PremierLeague;25;35;20;8;10;1,69;68;35;0;2993;33,3;9;61;5;5;4;4;12;0;6,9;5,4;60;168;50;60;75000;3900000;44;0,11;2,1;53,1;47;24;51,1;53;47,2;8;23;18;65;57;-1,23;0,18
Gabriel Jesus;BRA;DL;Arsenal;PremierLeague;26;27;28;5;5;2,19;89;17;10;1478;16,4;4;29;5;4;0;0;6;0;6,3;3,8;38;42;155;65;265000;13780000;55;0,07;-2,3;58,2;75;35;46,7;18;27,8;1;13;12;29;11;-0,94;-0,1
Jack Grealish;ENG;DL;Manchester City;PremierLeague;27;20;28;7;3;2,45;91;10;10;1009;11,2;3;34;1;3;0;0;6;0;2,1;2,5;87;50;146;60;300000;15600000;22;0,14;0,9;65,2;41;18;43,9;12;50;2;6;5;26;13;-0,67;-0,37
Jarrod Bowen;ENG;DL;West Ham;PremierLeague;26;34;14;10;14;1,44;52;34;0;3019;33,5;16;74;6;16;0;0;2;0;11,6;5,5;90;52;186;50;120000;6240000;84;0,19;4,4;41,1;97;34;35,1;35;37,1;5;19;14;53;63;0,6;0,58
Sven Botman;NED;DF;Newcastle Utd;PremierLeague;23;17;18;6;14;1,35;60;15;2;1377;15,3;2;62;2;2;0;0;2;0;0,6;1;0;35;5;45;90000;4680000;10;0,2;1,4;52,2;2;0;0;13;61,5;16;9;61;37;29;-0,14;-1,16
Pedro Porro;ESP;DF;Tottenham;PremierLeague;23;35;20;6;12;1,77;66;35;0;3089;34,3;3;61;7;3;0;0;3;0;2,9;7,2;57;194;158;60;85000;4420000;53;0,06;0,1;61,6;57;26;45,6;120;51,7;18;34;102;66;54;0,08;-0,05
Pape Matar Sarr;SEN;CC;Tottenham;PremierLeague;20;34;20;6;12;1,79;66;27;7;2069;23;3;61;3;3;0;0;9;0;3,4;2,2;43;150;90;45;70000;3640000;36;0,08;-0,4;61,6;38;19;50;36;41,7;5;31;28;40;27;0,57;0,05
Pau Torres;ESP;DF;Aston Villa;PremierLeague;26;29;20;8;10;2,07;68;27;2;2464;27,4;2;61;0;2;0;0;1;0;1;0,4;42;128;16;45;100000;5200000;12;0,17;1;53,1;28;17;60,7;30;46,7;12;14;75;57;37;1,2;0,53
Kaoru Mitoma;JPN;DL;Brighton;PremierLeague;26;19;12;12;14;1,42;48;15;4;1486;16,5;3;62;4;3;0;0;4;0;3,5;2,7;121;64;239;45;80000;4160000;34;0,09;-0,5;59,8;94;39;41,5;19;26,3;1;5;12;32;27;0,86;0,51
Marc Guéhi;ENG;DF;Crystal Palace;PremierLeague;23;25;13;10;15;1,32;49;23;2;2021;22,5;0;58;1;0;0;0;2;0;0,6;0,6;15;67;7;38;50000;2600000;5;0;-0,6;42,3;13;7;53,8;24;58,3;17;18;89;30;32;-0,15;-0,01
Jarrad Branthwaite;ENG;DF;Everton;PremierLeague;21;35;13;9;16;1,29;42;35;0;3116;34,6;3;51;0;3;0;0;8;0;1,7;1;2;74;6;42;35000;1820000;14;0,21;1,3;40,8;8;5;62,5;62;72,6;36;50;163;38;44;1,31;0,37
Éder Militão;BRA;DF;Real Madrid;LaLiga;25;10;29;8;1;2,6;95;6;4;496;5,5;0;26;0;0;0;0;0;0;0,1;0;7;15;2;70;140192;7290000;2;0;-0,1;59,2;1;0;0;9;66,7;3;4;19;19;4;1,31;-0,44
Takefusa Kubo;JPN;DL;Real Sociedad;LaLiga;22;30;16;12;10;1,53;60;24;6;2150;23,9;7;39;4;7;0;0;1;0;3,5;6,4;136;89;231;60;38462;2000000;46;0,15;3,5;55,3;117;55;47;23;39,1;2;11;8;32;24;0,05;-0,01
Giorgi Mamardashvili;GEO;PO;Valencia;LaLiga;22;37;13;10;15;1,32;49;37;0;3284;36,5;0;45;0;0;0;0;3;1;0;0,4;0;0;0;35;28846;1500000;0;;0;44,3;0;0;;4;100;0;2;22;40;41;2,62;0,87
Robin Le Normand;ESP;DF;Real Sociedad;LaLiga;26;29;16;12;10;1,59;60;28;1;2469;27,4;2;39;0;2;0;0;13;0;1;0,1;21;106;1;40;53846;2800000;8;0,25;1;55,3;1;1;100;30;56,7;15;28;96;37;30;-0,22;0,42
Conor Gallagher;ENG;CC;Chelsea;PremierLeague;23;37;18;9;11;1,7;63;37;0;3128;34,8;5;63;7;5;0;0;9;1;4,2;5;62;172;122;50;50000;2600000;48;0,1;0,8;58,6;65;38;58,5;77;42,9;11;43;34;69;55;0,4;0,99
David Raya;ESP;PO;Arsenal;PremierLeague;27;32;28;5;5;2,28;89;32;0;2880;32;0;29;0;0;0;0;2;0;0;0;0;2;0;35;85000;4420000;0;;0;58,2;0;0;;1;100;0;0;8;80;24;0,75;0,45
Diogo Dalot;POR;DF;Manchester Utd;PremierLeague;24;36;18;6;14;1,58;60;35;1;3174;35,3;2;58;3;2;0;0;6;1;1,7;2,9;52;124;111;35;85000;4420000;30;0,07;0,3;50,6;52;31;59,6;74;68,9;16;37;111;56;55;0,76;-0,47
Evan Ferguson;IRL;DL;Brighton;PremierLeague;18;27;12;12;14;1,48;48;15;12;1367;15,2;6;62;0;6;0;0;1;0;4,6;0,5;13;15;62;60;30000;1560000;33;0,18;1,4;59,8;16;7;43,8;14;35,7;3;2;8;24;28;-0,13;-0,02
Manuel Akanji;SUI;DF;Manchester City;PremierLeague;28;30;28;7;3;2,4;91;28;2;2511;27,9;2;34;0;2;0;0;4;1;1,9;0,5;46;148;36;45;180000;9360000;15;0,13;0,1;65,2;4;2;50;39;56,4;12;23;70;72;23;0,47;-0,35
